analysis_date,time_sec,X_vibration,Y_vibration,Z_vibration
2018-07-26 15:12:00,2.1127,0.0232281,0.0322703,-0.354822
2018-07-26 15:12:00,2.12276,0.0449076,-0.0438526,-0.668191
2018-07-26 15:12:00,2.13282,0.142717,-0.138091,-0.748913
2018-07-26 15:12:00,2.14288,0.232694,-0.178581,-0.874222
2018-07-26 15:12:00,2.15294,0.171177,-0.194316,-1.18044
2018-07-26 15:12:00,2.163,0.142214,-0.223724,-1.40264
2018-07-26 15:12:00,2.17306,0.120225,-0.220399,-1.42514
2018-07-26 15:12:00,2.18312,0.0914557,-0.200491,-1.29485
2018-07-26 15:12:00,2.19318,0.03438,-0.163705,-0.907023
2018-07-26 15:12:00,2.20324,-0.0252385,-0.0771317,-0.268731
2018-07-26 15:12:00,2.2133,-0.0393373,0.023744,0.318263
2018-07-26 15:12:00,2.22336,-0.0910849,0.0738039,0.715285
2018-07-26 15:12:00,2.23342,-0.169531,0.118509,1.07276
2018-07-26 15:12:00,2.24348,-0.167214,0.174292,1.50988
2018-07-26 15:12:00,2.25354,-0.212507,0.218084,1.85513
2018-07-26 15:12:00,2.2636,-0.286247,0.238796,1.84561
2018-07-26 15:12:00,2.27366,-0.275459,0.245098,1.50958
2018-07-26 15:12:00,2.28373,-0.139898,0.171751,1.00612
2018-07-26 15:12:00,2.29379,0.0206136,0.117227,0.433188
2018-07-26 15:12:00,2.30385,0.126298,0.0281256,-0.0996711
2018-07-26 15:12:00,2.31391,0.198527,-0.0739774,-0.563985
2018-07-26 15:12:00,2.32397,0.199566,-0.0759239,-0.561508
2018-07-26 15:12:00,2.33403,0.140461,-0.10068,-1.20233
2018-07-26 15:12:00,2.34409,0.141496,-0.102423,-1.1997
2018-07-26 15:12:00,2.35415,0.150133,-0.205769,-1.21081
2018-07-26 15:12:00,2.36421,0.151099,-0.207188,-1.20746
2018-07-26 15:12:00,2.37427,0.0866355,-0.069703,-0.845743
2018-07-26 15:12:00,2.38433,-0.0121258,-0.0744728,-0.65063
2018-07-26 15:12:00,2.39439,-0.0890556,-0.112563,-0.38489
2018-07-26 15:12:00,2.40445,-0.088169,-0.113205,-0.380261
2018-07-26 15:12:00,2.41451,-0.058524,0.0103738,0.269582
2018-07-26 15:12:00,2.42457,-0.0705763,0.0426756,0.585678
2018-07-26 15:12:00,2.43463,-0.0809111,0.0837828,0.805463
2018-07-26 15:12:00,2.44469,-0.0797865,0.0836923,0.808915
2018-07-26 15:12:00,2.45475,-0.0508825,0.0770978,0.893829
2018-07-26 15:12:00,2.46481,-0.00526916,0.120994,0.932477
2018-07-26 15:12:00,2.47487,-0.0321335,0.172724,0.898635
2018-07-26 15:12:00,2.48493,-0.0285347,0.205051,0.739795
2018-07-26 15:12:00,2.49499,-0.0143884,0.179377,0.460352
2018-07-26 15:12:00,2.50506,-0.00332821,0.127439,-0.00349038
2018-07-26 15:12:00,2.51512,-0.00165729,0.127817,-0.00503067
2018-07-26 15:12:00,2.52518,0.0426799,0.0416752,-0.346782
2018-07-26 15:12:00,2.53524,0.129817,-0.0899564,-0.851439
2018-07-26 15:12:00,2.5453,0.103371,-0.101701,-1.0544
2018-07-26 15:12:00,2.55536,0.105039,-0.100672,-1.05673
2018-07-26 15:12:00,2.56542,0.114168,-0.134136,-1.1515
2018-07-26 15:12:00,2.57548,0.117591,-0.163921,-1.12202
2018-07-26 15:12:00,2.58554,0.110527,-0.214265,-0.970687
